_id,account_name,financial_institution
5f3e16a8d95d06627dc8e927,Business Checking AZFCU,AZFCU
5f3e16a8d95d06627dc8e928,cash,my_pocket
5f3e16a8d95d06627dc8e929,cashapp_biz,cashapp_biz
5f3e16a8d95d06627dc8e92a,credit_card,AZFCU
5f3e16a8d95d06627dc8e92b,credit_card_mamma,FNBO
5f3e16a8d95d06627dc8e92c,gift_card,gift_card
5f3e16a8d95d06627dc8e92d,PayPal,PayPal 
5f3e16a8d95d06627dc8e92e,PayPal Credit,PayPal 
5f3e16a8d95d06627dc8e92f,Personal Checking AZFCU,AZFCU
5f3e16a8d95d06627dc8e930,Special Savings AZFCU,AZFCU
